building_id, mean_temp, std_temp, pct_above_18, pct_below_15
10000, 14.016700032821742, 6.367649105047396, 30.966330331633575, 55.47538967849264
10009, 11.009526472054475, 5.809445157918572, 16.692632425369382, 74.93592320836265
10014, 14.744169941950119, 7.037733284673848, 38.26367541377415, 52.80837116508215
10019, 14.736513641012044, 7.029761228993693, 38.151188695944086, 52.925199133274326
10029, 10.62249935134316, 6.312467118095018, 18.25563221896085, 74.51301795448481
10031, 12.518494325257524, 6.276190781197079, 24.078602362784668, 66.33473764841057
10051, 13.290568693587785, 5.999000745442376, 25.97693550756574, 62.84890553841633
10053, 11.374291120694338, 6.2590249804700955, 19.957686882933707, 72.39069111424541
10056, 14.22156228947154, 6.1794045077543185, 31.770664359612127, 57.05454021123968
10064, 12.725995026439659, 6.964210990335866, 28.83513747459127, 62.706309145196904
